用户名,时间,内容,点赞量,sentiment,sentiment_class
最近特别穷,2020/8/27 0:53,回复 @斯波波比奇 :北冰洋航道的解冻  我们中国到北欧的航程就会大大缩短,28,0.183271718,非常消极
Violet-Eg,2020/8/27 1:18,回复 @立华社长美如画 :可能吧，不过我知道咱们自己家的核弹老铁了,6,0.902912112,非常积极
池早香丶,2020/8/26 23:51,"给大家科普一下马尔萨斯陷阱：在工业革命之后，大约经过了100多年的时间，西方人口生产上的“两高一低（高出生率、高死亡率、低增长率）”就逐步被“三低（低出生率、低死亡率、低增长率）”趋势所取代。
许多经济学家认为高死亡率的各种因素，是人口在生产与农业时代生存资料实现匹配的关键过程，马尔萨斯说战争、饥荒和瘟疫都是促使人口下降到与生存资料生产水平相适应的道路，人口数量要在某种方式和程度上与农业发展成比例的观点是一个内含的逻辑。马尔萨斯提出两个级数的理论：人口增长是按照几何级数增长的，而生存资料按照算术级数增长，这一理论被称作“马尔萨斯陷阱”。",13953,1,非常积极
怠惰的老o,2020/8/27 0:05,是马大胡子在书里经常提到的那个马尔萨斯吗,39,0.955085706,非常积极
上岸Nya,2020/8/27 2:11,大概意思是粮食产量赶不上人口增长速度，天灾会削减人口适应粮食产出。,165,0.900704452,非常积极
Grox137,2020/8/29 12:56,回复 @大争不争 :但事实是自上世纪六十年代以来，全球粮食产量增速始终高于人口增长，过去几十年人口翻了1.5倍，而粮食产量翻了三倍，致使第三世界饥荒的原因显然是新自由市场的国际粮企而非不节育,7,0.992095297,非常积极
憨厚朴实的老司机,2020/8/26 23:18,巴铁铁不铁，得看咱们硬不硬,10519,0.396498499,较为消极
山顶洞人与夜航船,2020/8/27 1:12,道理我都懂，但我还是觉得你不对劲,1018,0.427962169,中立
LiebeTulpen,2020/8/27 5:47,回复 @蚊子满屋飞 :黄色眼镜摘了吧,412,0.011586942,非常消极
风之旅者-,2020/8/26 23:17,至少就目前这个破环境下，还是铁的,17078,0.400735812,中立
火织雲,2020/8/26 23:27,国际政治关系稳定的时候，咱们网上就喊铁呗，什么时候关系有问题了再谈称呼，可以心里防一手，但还是不要说出来吧。,2481,0.979069673,非常积极
菠萝赛罗,2020/8/26 23:32,印度和巴基斯坦二选一，美国肯定选印度,198,0.998990215,非常积极
风之旅者-,2020/8/26 23:34,回复 @菠萝赛罗 :就目前中印关系，美国闭着眼睛都知道要选印度,160,0.998677818,非常积极
少凡浪浪,2020/8/27 0:31,评论有些个人真是离谱，跟巴基斯坦谈利益，跟美国谈感情，本末倒置有一手。,14343,0.856577768,非常积极
凡尘一俗人,2020/8/27 2:15,那些人天生就膝盖软 屁股歪 没办法和那些香蕉人 舔狗讲道理的,324,0.042675581,非常消极
くろ李舜生,2020/8/27 4:40,谈利益是正常的，但天天把利益挂在嘴边实属脑瘫，有哪个看到外交官和巴基斯坦实施作战计划时会强调中国获利多还是巴基斯坦多，大家成年人心知肚明就好，真要有哪一天巴基斯坦反水这群家伙一定第一时间跳出来大骂不讲义气,1952,0.999824841,非常积极
泳良诚艺,2020/8/27 10:04,回复 @雨师赤松子 :对换到现实生活，这话让我想起有些亲戚朋友，就是你说的这种NC，熟人要算清楚是正常的，但就是有些人特别NC，算透底过头了，天天跟人谈交易谈利益，一见面就问有啥好处，属实恶心，情商负数。,52,0.13553031,非常消极
菜田莱茵,2020/8/26 23:18,这是被沈大佬逼出来的吗？果然恐惧才是人类的第一生产力,7221,0.99893307,非常积极
LivZZZY,2020/8/26 23:29,兄弟，一周两更啊，周三和周六,86,0.250231442,较为消极
莉莉丝是好文明,2020/8/26 23:35,内卷的笑死我了,223,0.465167892,中立
一念平生O_o,2020/8/26 23:54,卷,9,0.470588235,中立
混吃等死的无颜,2020/8/27 0:58,后排提醒：保持独立思考，不要听啥是啥,2534,0.956307286,非常积极
无云w,2020/8/27 10:05,娱乐为主,41,0.603773585,较为积极
麥樂雞_office,2020/8/27 10:46,u1s1，越看现在越罗马感觉。罗马刚刚建立，学习希腊，学了一圈希腊然后发现，不学也罢，下面发现精英阶层不学希腊的开始起哄，然后希腊鼎盛了一段时间就开始内乱烽烟四起,159,0.999999818,非常积极
古德爱迪尔,2020/8/27 16:52,回复 @片山口口口 :这希腊不学也罢，随后让罗马军团把希腊和仿希腊城邦打得落花流水,9,0.998370592,非常积极
不蒸馍也不扶,2020/8/26 23:45,"我发现每次这种话题下就会有很多奇怪的言论
提到跟中国关系微妙的，比如美国，就是友好、先进、无条件学习；提到跟中国关系友好的，比如毛子巴基斯坦，就是讲利益、讲中苏交恶、讲冲突
好家伙，伟大领袖说政治要把敌人搞的少少的把朋友搞的多多的，这上来就无脑倒贴敌人然后把朋友往外赶，咋个想的？
我寻思下次碰到再bb中苏交恶、巴铁其实不铁的，我就把朝战、81192、大使馆被炸、tw问题、南海问题、日本问题挨个糊他脸，希望这些草蛋的史实能让这群不知道是蠢还是坏的家伙闭嘴",9057,1,非常积极
传说中的C哥,2020/8/27 0:30,有的人就是搞不清楚主要矛盾和次要矛盾，非得吹毛求疵,884,0.334722627,较为消极
死亡天使蒂法,2020/8/27 0:52,美日每年几百亿的公关费花哪儿了，相当一部分就花这儿了,629,0.487466373,中立
不蒸馍也不扶,2020/8/27 1:03,回复 @死亡天使蒂法 :要命的是这种鬼话还总有市场，我寻思美分最猖獗的时候我也不觉得中苏曾经交恶是我们现在放弃毛子这个盟友的理由啊，就离谱,575,0.969997906,非常积极
你来比奇堡我等你,2020/8/26 23:18,巴基斯坦亲兄弟？你想太多了。不过呢，也没有那么差，朋友比较准确。,5900,0.525799821,中立
燕云沧浪客,2020/8/26 23:32,其实中国和白俄罗斯、塞尔维亚这种反而比巴基斯坦更好,317,0.963322458,非常积极
睡眠不足的帕哈,2020/8/26 23:32,中巴关系铁最好，不铁的话…我觉得咱东风也挺铁的,477,0.951713785,非常积极
DDkingT,2020/8/27 2:30,回复 @幻泷笙歌 :回复 @幻泷笙歌 :我说的话有点冲 但只是阐述事情并不带有敌意   中巴利益相关这种东西  我初中毕业那年 喜欢在一起瞎扯蛋的同学们就都知道了  过了8年还是这套东西没有变  利益相关这种词  大家都知道  也都心照不宣  不需要去提醒别人  最近塞尔维亚还算友好   但白俄一个苏联解体时期 分裂出的一个畸形政体   你可以说它亲俄但他绝不亲中  本身位置特殊  对俄的态度都很微妙   白俄凭什么亲中  不能张口就来啊   中巴的紧密程度如何 我不知道  但不能随便来个国家都可以碰瓷中巴关系了。中巴友好这套东西   可能宣传的时间是太长了  大家有疲劳感新鲜感也消失了 需要从别的角度来看待这段关系   但不是啥国家都能碰瓷巴基斯坦的  不管在国际上还是在舆论场上   巴基斯坦算够可以的了   单在舆论场 不管多大的火药桶 大部分巴基斯坦人都在帮中国   这个帮助与当地宣传有关系   但更体现出的是民间态度   塞尔维亚做不到  白俄罗斯就更别说了   可以说塞尔维亚与中国友好  但更多在于官方而民间偏少  白俄罗斯那就扯了。就因为最近这段时间  白俄与塞尔维亚 才出镜了几次啊   塞尔维亚感谢我们后还遭到了反对派攻击   白俄罗斯则是因为内乱而且跟咱们有一点关系吗？   这都能超越中巴了？,36,1,非常积极
冬雪春与小晶理,2020/8/26 23:45,"怎么说呢？官方层面上确实靠的很密切，王骁视频里面说中国的核工业出口对巴基斯坦占到18%，我对此是深有体会，因为家庭原因长辈经常去巴基斯坦，给的规格和礼遇之高确实让人盛情难却
但是中巴逐渐走进其实是在1962年中印边界冲突之后，一波三折。整体上而言，巴基斯坦对中国人的感情还是较为融洽的。但是卑路支的问题真的很难以解决。",32338,0.999999898,非常积极
鹤这有卷卷的嘉云糖,2020/8/27 1:27,其实我感觉，他们自己真出不来天降猛男的话我们可以给他们装扮一个出来，不过前提是得先解决眼下的这些事情。。,293,0.28955749,较为消极
德德玛瑙鲁,2020/8/27 8:20,俾路支省是军阀统治，巴政府也是无可奈何，前些年俾省还在跟政府军打仗，这些年好了一些，但也不算安定，地方武装不少,230,0.081991343,非常消极
晓雾将歇h,2020/8/27 10:45,但我真的不希望有第二个“越南”,131,0.357906365,较为消极
zZzZzz丶zZzZz,2020/8/26 23:37,秦始皇最有前瞻性的是统一后统一文字货币形成统一文化 自从有了粘性,4864,0.99799023,非常积极
丶夜鸦寒毒,2020/8/27 2:33,其实也是方便管理,107,0.464285714,中立
浮生若梦jkl,2020/8/27 3:25,回复 @丶夜鸦寒毒 :回复 @丶夜鸦寒毒 :但不得不承认祖龙是有大魄力的人，书同文车同轨，统一度量衡，修驰道建长城，确立郡县制，哪一样不是牛逼轰轰的大事！,528,0.990829138,非常积极
七国挖矿真君,2020/8/27 6:00,"看纪录片 秦代还出现过 类似现代的三菱军刺的羽箭头，穿透性强，放血快，还有类似现代的高速公路 不过跑的是马车（类似把松软的土做成压缩饼干 机场跑道同理）

古人在某些方面不是他们NB  而是基操 
就像他们看现代人这些科技也觉得 NB",1495,0.993164143,非常积极
sapphirus蓝宝石,2020/8/26 23:33,借个楼，王骁大大能说一说如果中日韩自贸区真的成立能对世界经济造成什么样的冲击嘛，我在海外网上看到的大部分亲中派一直在努力推行，亲美倒是一直阻止，有了海上陆上一带一路，自贸区的成立有又带来什么呀,2996,0.999965025,非常积极
清风霽月,2020/8/26 23:56,应该是中日韩自贸区成立的话，贸易额就超过了美国，到时候谁制裁谁，还不一定呢。,912,0.723465774,较为积极
Sunset_Velvet,2020/8/27 0:07,成立自贸区，亚洲将成为世界中心，亚洲中心在中国，中国当场成为地球位面之子,657,0.999918528,非常积极
leexpjojo,2020/8/27 2:07,回复 @清风霽月 :是中国有人有市场。日本有高端技术材料。汽车。韩国么半导体。其实中日就行了。离得近。习惯中日韩,56,0.946626896,非常积极
楠木楠羽,2020/8/26 23:41,实话确实是实话，比那些网上的神言论好多了。感谢UP普及的地缘政治知识。很多人连中国地图和自家那一片都没认清，还好为人师的张口闭口教别人政治的人看看这样的视频才是真道理。感觉只要沾边一点政治，就很难保齐一条心。各方利益者统筹起来就很艰难。   庙小妖风大，池浅王八多。     小国的人最哀叹一件事，那就是大国真的碾压自己，不好好的站队，那真的判断失误百姓之灾。,1469,0.999999988,非常积极
寻觅的梦想,2020/8/27 8:20,连人都不可能是一面的，何况国家这个利益集合体。,36,0.592582768,中立
物之情性之灵,2020/8/27 19:59,互联网给林林总总良莠不齐的人提供了发声渠道，降低了交流成本，促进了多元思维融合，但副作用也很明显，随便一个没水平的跳梁小丑都可以大放厥词。他们的言论里都是些空洞无力的从新闻里听来的“伟大光荣正确”的词汇，没有资料佐证，裹挟着“正义”的偏见和独断，认识不到狭隘与无知，把反智当政治正确。面对不同意见不是去找论据反驳，基本就是扣帽子，人身攻讦，丑陋的性格一览无遗，鲁迅先生真是把中国人不堪的一面刺的透透的，看来得去再看看鲁迅文集了。,58,0.9999941,非常积极
幽岚碧泉,2020/8/27 22:26,回复 @物之情在物之不齐 :你说的这不堪的一面，其实放到全世界都一样，人性如此而已，只不过，即有先师已经指出，我们时时自省自身总是好事。,18,0.984615796,非常积极
s_leigh,2020/8/26 23:56,观评论区有感，一个个都在说什么利益啦感情啦朋友啦，说的你真的对这个国家有感情，在这个国家有朋友似的。中巴有同样的利益诉求，政治层面宣传友好很正常，国家又没逼着你跟他们进行民间交流，真正该合作的工程项目不都是国家在做吗？一些人非得在需要宣传国际间友好互助的时候摆出一副高贵脸，嘴上喊几句“没有共同的朋友，只有共同的利益”blabla，就你懂？所有人心知肚明的事非得出来唱反调显得自己多遗世独立似的，是不是ky，你要是在正式公开的场合说这话是不是欠打？,5447,0.999999916,非常积极
油炸硅基仓鼠球,2020/8/27 0:13,只要是跟中国关系不错的国家就会有一堆人这么说～你都不知道他是故意出来抖机灵显得自己独醒～还是纯故意,721,0.764404417,较为积极
星辰耀龙,2020/8/27 1:21,回复 @水无月Beilling :就是瞎刷装13的,88,0.079919266,非常消极
告白前的橙子皮,2020/8/26 23:17,咋感觉大叔了很多,1186,0.917855138,非常积极
回家吧杰洛,2020/8/26 23:18,婚后老男人,218,0.625039102,较为积极
Alexh230,2020/8/26 23:22,你不知道他自称阿伯？,91,0.165156084,非常消极
告白前的橙子皮,2020/8/26 23:25,回复 @国际交流会Panda :哈哈哈，阿伯，albert的谐音梗吗哈哈。,82,0.959325931,非常积极
特X型反应装甲,2020/8/26 23:39,"说实话，哪怕巴基斯坦内部分裂，对于中国来说都是绝对的有利可图
毕竟巴基斯坦最大的敌人是印度，一切的要求和合纵连横都是为了和印度对垒为前提的
至于很多人担心的利益不均和可能的背叛问题，其实大可放心
要被背叛的前提是印度死无葬身之地（否则巴基斯坦自保都非常困难）
如果今后巴基斯坦一定会背叛，但前提是印度会灰飞烟灭
在座的各位可以自己思考下，这个生意是划算还是不划算.jpg",1201,1,非常积极
SDASDD10,2020/8/27 0:54,你就不怕这两亿人变成难民潮到处跑吗,82,0.320137834,较为消极
特X型反应装甲,2020/8/27 1:07,"回复 @SDASDD10 :比起难民潮不更应该担心印度这片地区相互用核武器MAD么
难民潮是基本不可能出现的，因为那样的话整个中亚地区大可以躺平等死，顺带把印度也给弄炸了
到时候怎么会才两亿难民哦
再加上中亚这地方的地理环境，集体性的自然淘汰恐怕才是最优可能发生的事情",78,0.999064058,非常积极
shaaark7ii,2020/8/27 2:00,回复 @SDASDD10 :一堆难民能穿越昆仑山来嚯嚯中国吗？真的扯淡,50,0.030327113,非常消极
湮没碎片,2020/8/26 23:21,只要印度还比巴基斯坦强，就还能铁,1185,0.990017707,非常积极
策电飞霆,2020/8/26 23:27,要让巴铁不铁，印度至少要碎成七块,63,0.942582828,非常积极
宫申伊,2020/8/27 1:39,每天都能收获不少黑名单人员,2,0.173928955,非常消极
Zzzz717,2020/8/27 4:01,咋还拉黑啊,2,0.192712344,非常消极
白钰舒,2020/8/26 23:24,"国与国之间，没有永恒的朋友,只有永恒的利益。——初中历史九年级下第16课。",3539,0.999933132,非常积极
卫凌玥,2020/8/27 0:00,高中政治必修二第二单元专门有一课来解释，标题就是国家利益至上。,475,0.442922363,中立
斧頭,2020/8/27 3:14,"我的课本是19年12月印刷的。。。找了半天没找到。。。
如果是丘吉尔的话，我看到的只有“铁幕演说”。
算了不找了，碎觉了
有同志找到了可以踹我一脚，顺便说一下多少页哪个地方吗
感激不尽",98,0.000264766,非常消极
差不多是废柴了,2020/8/27 6:49,回复 @卫凌玥 :国家利益是国际关系的决定性因素,23,0.992451355,非常积极
射击猎半藏,2020/8/26 23:39,"说加快“某某”进程的部分其实有点鹰酱思维了。
好的事情不单要结果好，过程也得好。
不干涉内政这个原则不能随便越过的。
可以让他们找我们，但是我们不能主动去找他们。",1034,0.790956581,较为积极
大萌叔,2020/8/27 0:18,根据对方的需要提供帮助和按照自己的意愿改造对方是两码事。,74,0.594094254,中立
李叁月,2020/8/27 1:53,的确是   up也说了   在人家需要的前提下给予适当的援助  这种做法和鹰酱还是有很大差别的   毕竟随意干涉别国内政和在对方需要的时候拉一把是两码事,160,0.990999809,非常积极
村夫OG雷,2020/8/27 6:50,对啊，这些人被西化了，别忘了中国是社会主义国家，中国最高的政治纲领就是马克思主义，而他的实质世界放全人类,31,0.999967324,非常积极
江中明月,2020/8/26 23:27,中巴可不是亲兄弟，可以说是朋友，或者说是利益伙伴,116,0.436095896,中立
许范嘉,2020/8/27 6:14,国家之间哪有亲兄弟，最多利益捆绑而已,8,0.937175547,非常积极
唐-纳-德jcw,2020/8/27 9:35,"“巴铁”是个好理解的宣传词汇，直接跟你讲国际关系利益往来，没有多少人完全懂，说巴铁你就懂了，中国和那个叫巴基斯坦的国家关系不错，省事儿效果好。
“没有永远的朋友只有永远的利益”这句话听烦了，正常成年人都应该知道的道理非要拿出来强调显得自己很清醒。",27,0.999998475,非常积极
在银河上飞翔的白天鹅,2020/8/31 18:48,回复 @许范嘉 :同一个主体民族两个政权还是可以的:美国跟英国，俄罗斯跟白俄罗斯,0,0.998971132,非常积极
游客A186,2020/8/26 23:32,结论怎么有点妄图干涉内政的意思 怪怪的,1563,0.682549555,较为积极
雨里雨里,2020/8/26 23:52,巴基斯坦请求我们帮助 不是我们主动要求去的,415,0.642646311,较为积极
Sakura爱你哟,2020/8/27 0:48,回复 @雨里雨里 :黎巴嫩部分人民请求法国代理他们国家，并不代表全黎巴嫩人民的想法,21,0.98432528,非常积极
青鹭bili,2020/8/27 13:22,"不谈政治，说件民间的事吧。
我在意大利的一个小城游玩的时候，去一家小店买了个kebab吃，里面的老板问我们是不是中国人，我们肯定了之后，他突然兴奋了起来，说他自己是巴基斯坦人。那样的神情，感觉像是在异乡偶然见到了很多年没见的老朋友一样。
我想，不管政治上是怎么样，巴基斯坦人对中国人始终是有一份特殊情感的吧。",124,0.999999417,非常积极
谎絆眼,2023/8/31 11:28,结果从2021年开始，很多巴基斯坦种族恐怖分子就开始袭击中国人了？,0,0.997748038,非常积极
青鹭bili,2023/8/31 13:18,回复 @谎絆眼 :所以那是种族恐怖分子,1,0.783426819,较为积极
无籁的无奈,2020/8/26 23:18,相互利益一致的时候 情深似海,1094,0.990872972,非常积极
87372437,2020/8/27 0:03,美帝和我们最大贸易伙伴呢！人家和你情深了吗？台湾主要靠大陆生意的收入他和你情深了吗？日本韩国也是中国最大的贸易伙伴，美国对中国宣战他们立马能与中国宣战！情在哪里？？？,335,0.997777313,非常积极
代-W,2020/8/27 0:31,"回复 @87372437 :舔美 舔台 舔日 哈韩的前几年这么多。情不就在这吗？
我是认为这个情说的是我们的情，当初叫人老大哥结果转脸就叫人苏修。咱们很实在的。",239,0.73594151,较为积极
光铭不用果,2020/8/27 0:32,回复 @87372437 :国与国之间关系本来就是看利益的,27,0.555659206,中立
上官萧安,2020/8/27 3:36,我呢，刚高中毕业，准备上大学，我想说说我的看法。首先，我也希望中巴是真正的兄弟，但是的确不是真正的。就像上世纪中苏关系，铁吗？太铁了，核弹都敢教，但是因为中苏是兄弟就教核技术乃至个个方面无死角的关怀吗？我觉不是的，是因为当时要对抗美国，是因为中国若对苏联造不成威胁。我觉得现在中巴也是这种关系，要是有一天巴基斯坦强大了，投向美国了，那他会不会成为下一个印度呢。其实我觉得国际上只有一句话是永远不变的，没有永远的朋友，只有永远的利益,126,0.999999864,非常积极
账号已注销,2020/8/27 7:10,你要是明白什么叫共产主义精神和苏修，当时苏联全方位的帮助中国还真就是为了共产主义精神，只不过后来苏联放弃了共产主义精神和理想，变成了一个以俄罗斯利益为主的红色帝国罢了。,69,0.999997695,非常积极
戒不掉白日梦,2020/8/27 11:35,如果你将来大学里有巴基斯坦人，最后不要轻信他们，和他们交朋友。留学生尽量远离就好。,12,0.999465953,非常积极
上官萧安,2020/8/27 20:38,回复 @40230290535_bili :不懂就问，苏修是什么意思啊,0,0.031408334,非常消极
消耗6银币改名,2020/8/26 23:42,最后说的太理想化，小心惹得一身骚。不该抖机灵别抖，小心有人断章取义。,1111,0.058850657,非常消极
芒熊本熊,2020/8/27 0:06,最后真的是。。。一言难尽。。。个人觉得最好别帮。主动帮了涉嫌干预他国内政。应邀帮了，帮不好怕不是也一身骚。。,218,0.668318212,较为积极
章臣,2020/8/27 1:36,我们不干涉他国内政，但是在一些涉及其国内无法解决，且需要国际社会调节和帮助的时候，中方会尽最大可能给予相关可行性意见及人道主义援助，以维护和谐有序的国际秩序，促进国家地区间的安全与稳定，推动国际社会的友好交流与和平发展。,115,0.999997947,非常积极
ヴィエルリットソース,2020/8/27 2:40,回复 @芒熊本熊 :早就帮了，第三次印巴战争打到后面，要不是中国给印度压力，巴基斯坦得输的不知道多惨。哪次印巴战争中国不卖武器给巴基斯坦？,21,0.999998105,非常积极
次元墙总是那么遥远,2020/8/27 3:22,巴铁铁不铁我不知道，我只知道评论区人均政治大神，我想的就很简单了，国家跟谁亲我就跟谁好,110,0.988283381,非常积极
大家乔四爷巨无聊,2021/3/3 16:20,没错,0,0.389973541,较为消极
我没带盐,2022/6/21 11:43,一样,0,0.526232782,中立
速溶哟,2020/8/26 23:27,不铁也要“铁”，这个是重要的国家战略，当今世界，有哪个国家是真正的铁，都是利益促进而成的,888,0.999901802,非常积极
BOOM刀锋战士,2020/8/26 23:52,听过美日很铁。,13,0.91349188,非常积极
钢铁轰鸣,2020/8/26 23:56,阿尔巴尼亚真是我国外交史上的一个教训,91,0.930098461,非常积极
又闻_,2020/8/27 8:53,回复 @祝所有up都有一副好肝 :这，怎么回事，不太了解,1,0.722829096,较为积极
翔lin云,2020/8/27 1:56,外交上的场面话，居然有人当真，我是没想到的，怪不得美国说一切为了自由民主也会有那么多人信,154,0.237891591,较为消极
耶律阿保机071,2020/8/27 10:07,哈哈,2,0.526232782,中立
应该人,2020/8/28 4:26,还挺对这么一想就没毛病了。,2,0.722096121,较为积极
吃清淡点吧,2021/6/12 9:23,毕竟人多  出些傻子也正常  喷醒他们就还有救   不喷醒他们别人枪抵他脑门上还巴铁呢,1,0.992604068,非常积极
红烧清蒸酱爆醋溜,2020/8/26 23:50,不管巴铁铁不铁，国家关系其实和人一样，救急不救穷。只要不把美国按下去，中国对巴基斯坦只能接济而已。只要中国的国际地位和话语权超不过欧美，就不说回头CIA整活搞个政变啥的把你投资都给充公，就算你投资成功了，巴基斯坦人民站起来了，他们也能说你是在经济殖民。,292,0.999999919,非常积极
战术空降,2020/8/27 9:19,不干涉他国内政其实只是政治手段，不是祖训啊，真就学明朝祖训治国不前进么，支持战争地区武器禁运条例的是五常，结果在战区只能五常卖武器，国与国之间没有什么是绝对的，一切的手段都是为了国家利益，苏联做不成不代表我们不行，中国想提高国际地位就得拉小弟，美国就有世界最多的小弟团，干啥都一堆小弟后边壮声势，联合国军一出马除了中苏就没谁敢说个不字，我们整天发钱就拉了一堆墙头草，不如教他们如何发展（社会进步），有共同发展方向才不会轻易被资本势力拉拢。,80,0.999997715,非常积极
野鹤菌,2023/1/27 1:22,是清朝,0,0.944444444,非常积极
想想樱川九郎会怎么做,2020/8/27 0:06,评论下面都是说不要干涉别人内政云云，问题是如果中巴经济走廊因为巴基斯坦的“三座大山”一再拖延，也会影响我国西部的发展和扶贫，都知道三座大山对人民的压迫，却还在任由“三座大山”压迫巴基斯坦人民，天安门城楼上那句“世界人民大团结外岁“呢,568,0.999999996,非常积极
夜宵红豆,2020/8/27 1:26,对的，我们是信仰共产主义的国家，怎么能到了需要表明我们信仰的时候个个退缩了呢。再说给他们提供一个大的指导思想供其考虑剩下的让他们自己根据的社会状态去调整，算是给个选项，也不算干涉内政。,88,0.99996515,非常积极
怪我咯丨丨,2020/8/27 13:34,不能直接干涉的，我们还没有到那种强大的地步，直接干涉会让别的国家害怕，让他们觉得中国和美国一样，到处打仗的世界警察，暗中呢，咱就不知道了,7,0.962038228,非常积极
我才不是坏东西,2020/8/27 22:45,回复 @星星眨着眼月画问号 :别瞎扯淡,0,0.378533427,较为消极
剑气森森,2020/8/27 1:14,这么多人相信不干涉他国内政啊，不过也确实没当年输出革命的能力了，被废的差不多了。输出革命是历史必然，否则共产主义之于资本主义就像积极抗疫之于群体免疫，太难独善其身了。,123,0.999998825,非常积极
高翰文,2020/8/27 12:41,有时候得考虑他们其中一方变强了会发生什么，比如越南就是个教训,8,0.768706155,较为积极
极北之森的乌洛波洛斯,2020/8/27 16:45,回复 @我是金花啊 :越南是南越、美没有持续影响，巴基斯坦……印度的存在目前很稳定,2,0.999521763,非常积极
唆鳖司机,2020/8/28 2:53,回复 @我是金花啊 :一个不听话的红色越南总好过反共的白色波兰或者乌克兰，最起码意识形态不敌对。,5,0.773822301,较为积极
DrHHB,2020/8/26 23:20,印度不分裂，他敢不铁？,354,0.231660762,较为消极
海底有鲸鱼QAQ,2020/8/27 9:01,印巴矛盾由于宗教问题是难以调和的，毕竟两国宗教你应该也懂，而印度又比巴铁强，所以巴铁需要大国的帮助与印度抗衡，巴铁背叛的前提是别国能付出更多去搞印度，不然巴铁基本是不会光明正大搞事情的,7,1,非常积极
DDKV2,2020/8/27 10:25,毕竟两边关系反复过好几次。老巴中间找过苏联，找过老美，试图平衡中国的影响力，但是最终发现，两家都把自己的位置放在远低于印度的层面上，这才死了心,42,0.999927843,非常积极
今屿为心,2023/2/17 23:52,回复 @DDKV2 :因为他们的潜力的确远远不如印度,0,0.852345285,非常积极
站在遠处看童年,2020/8/27 9:16,共产主义的目的就是为了解放全人类吧，穷则独善其身，达则兼济天下，古人早就给我们说明白了，现在我们的能力上去了，邻居家里有困难，需要我们帮助，我们帮助一下也是可以的，毕竟强国不仅仅需要靠发展，也需要拓展影响力啊，自家家门口不弄稳固肯定是不行的。,62,0.999999997,非常积极
