用户名,时间,内容,点赞量,sentiment,sentiment_class
吸尘器ex,2023/6/10 20:01,看满离，翻了这么久终于翻到个还记得英特纳雄耐尔目标的兄弟了,0,0.816775217,非常积极
花枪大叔,2020/8/27 0:14,说是有“干涉内政”的嫌疑，但欧美bb得还少吗？听蝲蝲蛄叫还不种地了？,473,0.498149436,中立
调理劳务系高材笙,2020/8/27 4:54,人家想骂你说话不算话，你就不能学美国做个无赖，说一套做一套吗？反正别人骂你又不是一天两天了，你就当放屁呗。,13,0.197202147,非常消极
weiqijun,2020/8/27 9:37,就好像刘备和曹操，不管内在原因如何，当初所声讨曹操的罪行作为刘备你就永远不能碰,2,0.999522732,非常积极
滑稽护体警告,2020/8/27 10:02,巴基斯坦这种情况，只能内部大革命，改革不可能干的过利益集团。,2,0.483568579,中立
那顽石,2020/8/27 6:59,非常不喜欢巴铁这称呼,85,0.857245903,非常积极
小k不要停,2020/8/27 8:13,巴勒斯坦哭了,4,0.682611822,较为积极
UPXIM卅十士,2020/8/27 9:23,讲个笑话我一直以为巴铁是指一条铁路hhh,7,0.101330027,非常消极
GY观世,2021/5/27 21:16,回复 @小k不要停 :巴西？,0,0.90273822,非常积极
逍遥天下游,2020/8/26 23:19,巴基斯坦感觉太不靠谱了，国内还有不小的恐怖份子势力，让他掌握核武器太危险,939,0.055266017,非常消极
英特倷雄耐尔,2020/8/26 23:34,"想多了，任何国家掌握核武都是至少经过5常之一的默许才行。
巴基斯坦是为了平衡印度才给的核武，五常默许，因是中国的小弟，所以由中国给予。
当初卡大佐将这事捅到联合国，让五常的面子不好看因为这事是默契，大家都这么干，但是说出来大家都不能好好玩了",788,0.954619618,非常积极
顺其自然gsh,2020/8/26 23:53,回复 @英特尔雄耐尔 :所以卡大佐，gg了，得罪五常，还活什么,46,0.090942357,非常消极
爷爷泡的茶不太好,2020/8/26 23:20,铁不铁再说，解放军的大炮倒是很铁,73,0.837786059,非常积极
洗j精,2020/8/27 1:27,你为什么干不过一楼,0,0.128066546,非常消极
侧颜控_诗,2020/8/27 7:27,虽然道理都懂，可类似内容视频底下一群人总在刷“国与国之间只有利益”，总感觉哪儿怪怪的。不得不让人想起来某些群体最爱讲的论调“应该反思为什么全世界都针对你”、“你看看跟你友好的都是些什么国家”。两厢结合之下不得不让人怀疑动不动就刷这个的人的动机，,344,0.985578173,非常积极
FFF-scxl时纯小刘,2020/8/27 7:46,他们喜欢当理中客唱反调，那时候你就吹他就行,37,0.710462668,较为积极
MIBN,2020/8/27 8:15,0202了还有反思怪,19,0.736699363,较为积极
侧颜控_诗,2020/8/27 8:27,回复 @MIBN :可太多了我们越是被人针对，这种论调就越高调,15,0.059600574,非常消极
琴棋诗画书酒花,2020/8/26 23:36,最后说的太刺刀见红了，我们是不干涉别国内政的，他们承接点我们的转移产业，建几个血汗工厂其实也挺好的，别的就算了吧，管不了。时常在想，要是没有中国，巴基斯坦该怎么办啊，太乱了。,92,0.959830474,非常积极
Sherry-AH,2020/8/27 2:53,王骁意思是就像当年共产国际帮我们一样，不是学美国,34,0.982524494,非常积极
八拾贰,2020/8/27 0:59,如果巴基斯坦走社了并且发展起来了，那无疑是一击响亮的耳光抽在西方资本主义的脸上，说不定又能掀起一股全球赤潮，那中国的国际关系说不定就盘货了呢,15,0.890524344,非常积极
醉青阳,2020/8/27 8:03,回复 @此世之仁 :大概就是愿意学，我们就交，但是不强迫不主动，不军事威胁，还是以经济贸易和援助为主，当初对周边国家都是这一套，可惜一个都没撑住，全和美跑了，但是咱们也没直接出兵干涉，这就可以看出来，我们输出思想，但不支持搞分裂，也不出兵，只是在经济上支持一个合法的亲中政党，有点像苏联和我国开始的关系，有支持，但不控制，毕竟我们受过苏联后期的苦，所以对控制这一套是不喜欢的。,12,0.999976143,非常积极
杜梨Dully,2020/8/27 1:05,一群刚看完科普的键政大师急着在评论区里教国家做事,528,0.989661909,非常积极
封不觉嘿嘿嘿,2020/8/27 7:42,宪法赋予中国人参政议政的权力，说错一点也没事，起码开口了,108,0.8603605,非常积极
泥卤兜大水牛,2020/8/27 2:06,真是愚蠢，你不发声，“别人”就会替你出声。你这么想省力气，应该去看流量明星，中国几百亿水军大都在那，不需要你亲自发弹幕和留言,86,0.744914188,较为积极
杜梨Dully,2020/8/27 9:17,重点不是能不能，而是为什么张口就来，懒到不肯更多找些资料，就急着发表意见，这和让小学生做高中题有什么区别？不是不能发表意见，而是张口就是暴论，什么帮着统一印度和吞并巴基斯坦，连常识都没有就来宣泄情绪？,80,0.182411768,非常消极
屈年伯起自矜,2020/8/27 3:53,中国古代王朝强的时候一堆附属国，弱的时候各种五胡乱华，谈什么朋友有比自己拳头铁实在的。,56,0.994588483,非常积极
GY观世,2021/5/27 21:18,晋：别骂了别骂了,1,0.393362775,较为消极
嘉然今天吃拉康,2020/8/27 1:05,全世界无产阶级需要联合起来的，联合无产阶级是干涉内政吗？,355,0.897816454,非常积极
Sherry-AH,2020/8/27 2:54,对，王骁意思是就像当年共产国际帮我们一样，不是学美国,86,0.982524494,非常积极
嘉然今天吃拉康,2020/8/27 8:28,回复 @夜汤圆 :共产主义革命不同于其他革命，共产主义革命是无产阶级向压迫他们的资产阶级做斗争，然后实行无产阶级专政，达到社会主义社会的高度，这是社会的进步,60,0.998066321,非常积极
嘉然今天吃拉康,2020/8/27 10:21,回复 @哦哈罗 :资助啥呀，目的是宣传思想，让人民自我觉醒,14,0.883614928,非常积极
cs_holder,2020/8/27 1:50,还需要多铁啊，难不成像日本韩国那样给美国当狗才算铁？国家之间讲利益的，巴基斯坦这样可以了。,83,0.947450564,非常积极
大家乔四爷巨无聊,2021/3/3 16:19,终于碰到一个懂事的人。巴基斯坦确实帮助了中国很多,6,0.979249333,非常积极
璃间雪-kroe,2022/7/2 19:39,那不是铁，是当狗,2,0.50084147,中立
我想你不懂我,2020/8/26 23:17,没有永远的朋友，只有永远的利益,3741,0.894942517,非常积极
南极鲻鱼,2020/8/26 23:20,巴铁可以让中国不通过马六甲海峡抵达印度洋，对于中国来说战略位置极其重要，这大大缩短了从中国到印度洋的距离,879,0.999950019,非常积极
若草菜叶的青梅竹马,2020/8/26 23:21,至少他们民间不是那么反华。这点是值得肯定的。,366,0.881603085,非常积极
账号已注销,2020/8/26 23:20,高中政治讲过，一切都是因为国家利益。,95,0.978522976,非常积极
看橘猫化缘,2020/8/27 9:55,弹幕里越来越奇怪了，和美国谈感情，和巴基斯坦谈利益，看来美国在中国的宣传投的钱越来越多了！,225,0.968952665,非常积极
Lion_Ray,2020/8/27 14:48,和美国、日本谈感情的多得很，我简直要笑出声来。,34,0.887552281,非常积极
应该人,2020/8/28 4:28,回复 @Lion_Ray :我觉得日本是中国的仇人，美国是全人类的仇人。,17,0.97072524,非常积极
寒憬,2020/8/27 10:04,我倒是认为这是漂亮国有点忽悠不住中国人，开始启用预备队了,16,0.55945538,中立
第三帝国少将,2020/8/27 3:13,我这种普通网民的视角也不知道现在是不是到了干涉的时候，但是共产党是有解放全世界这个天职的，以及就许漂亮国全球搞事布局，不允许中国拉一把自己的朋友？至于说国际影响。。。看看海对面，国际影响最大的来源于还是实力啊。,49,0.997639277,非常积极
固化剂得到,2020/8/28 0:20,肯定没到，中巴中国贸易顺差一百多亿，你去干涉还可能贸易逆差不说，到时候中巴经济走廊还会被巴基斯坦的爱国主义者破坏，中国只要不考虑当殖民主义的帝国就别考虑干涉别国内政，豪强和平民谁上台对中国有影响么？还不是只能和中国做生意,3,0.996740303,非常积极
沉默无言159,2023/1/25 0:59,谁给你授权的，是想接着走苏联的老路啦,0,0.528654364,中立
Esson_H,2022/4/10 17:44,当初某些人老是说骁哥夹带私货，现在好了，肝帝、科工力量越来越水，王骁直接走了，对我来说就剩亚洲特快可以看了这期视频就明显夹带些许私货，但观点鲜明，证据有力，这都有人骂，那如果都说的是大众认识的东西那还有什么好说的不就像其他节目一样拉了吗...,49,0.999934575,非常积极
几经-南墙,2022/4/11 0:58,肝帝量大，有时候还是不错的会输出,0,0.918993477,非常积极
毒葯蜜糖,2022/4/10 17:48,肝帝还算好吧，隔一段时间爆发一下，科工嘛,0,0.82280022,非常积极
一心憧憬N,2020/8/26 23:17,国家之间应该没有完全的友谊，大部分都是利益关系吧？,1045,0.988113856,非常积极
兰色的兔耳朵草,2020/8/26 23:27,"不看利益只看交情是没脑子
不看交情只看利益是没良心
国和国没那么单纯",488,0.347643592,较为消极
い朝田诗乃に,2020/8/26 23:34,"中国一直沿用“伙伴关系”定bai位双边关系du。其名称主要分为：伙伴zhi关系、全面伙伴关系、合作伙伴关系、全面合作伙伴关系、战略伙伴关系、战略合作伙伴关系、全面战略伙伴关系、全面战略合作伙伴关系、全面战略协作伙伴关系等。中国社会科学院当代中国研究所研究员王巧荣表示，上述关系之间的差异并没有明确定义。
战略伙伴关系指在双边或多边国际事务中，在重大国际和地区问题上，相互协调、相互配合、相互支持；全面伙伴关系涉及伙伴国间共同关心的所有问题。
建设性战略合作伙伴关系：美国

战略互惠关系：日本

全面战略协作伙伴关系：俄罗斯

全天候战略合作伙伴关系：巴基斯坦

全面战略合作伙伴关系：越南、巴基斯坦、法国、巴西

全面战略伙伴关系：英国、意大利、西班牙、丹麦、马来西亚、非盟、葡萄牙、南非、白俄罗斯、印度尼西亚、阿根廷、委内瑞拉

全方位战略伙伴关系：德国

战略合作伙伴关系：韩国、埃及、印度、土耳其、斯里兰卡",211,1,非常积极
ailihx7777777,2020/8/26 23:30,人人心知肚明说出来可就太搞人了，不要给我说什么误导小学生之类的,70,0.156154923,非常消极
Mvas12381,2020/8/26 23:30,天下熙熙，皆为利来。天下攘攘，皆为利往,54,0.360059123,较为消极
樱井梦华录,2020/11/17 1:58,外网集体喷中国的时候，不知道拼命帮中国说话的巴基斯坦有没有想过利益啥的,19,0.895533589,非常积极
大家乔四爷巨无聊,2021/3/3 16:17,回复 @樱井梦华录 :就是，就是。别的不敢说，但是现在的中国跟巴基斯坦确实是友好的建交关系。希望朋友们不要被一些视频带跑偏了。,10,0.907007378,非常积极
QAZwhy,2020/8/26 23:39,回复 @无敌的睡了 :史记,4,0.825133025,非常积极
中國南方網友,2020/8/26 23:36,"咋说呢。。。虽然不像某些人说的那么铁。中巴关系也不至于啥也不是吧
咋跳出来这么多利益党。。",210,0.70498779,较为积极
慕和夜,2020/8/27 9:00,多半是中学生装逼（不歧视中学生）以为人人都需要他们来提醒这种浅显的道理，可是他们偏偏除了这一句话又说不出其他更深层次的分析话，到处刷就很令人厌烦。,80,0.156309627,非常消极
东风导弹请签收,2020/8/27 9:07,这是两个国家，更是十几亿人，我们没有多少人懂巴基斯坦的语言，巴基斯坦也没有多少人懂汉语，受过教育的人很少，那么有一句话就很对了，非我族类，其心必异，巴基斯坦几亿人，不是所有人都把中国看做朋友，只是想利用中国，即使有很多巴基斯坦人把中国看做朋友，我们仍然需要担心。,19,0.999999997,非常积极
慕和夜,2020/8/29 0:44,回复 @科幻世界中的魔法师 :幸好从小就不爱说很多话，没留下什么幼稚的言论，不然现在回头想想以前初高中甚至初入大学的想法，真的是幼稚尴尬的很还是得少说话多读书多看报啊。满瓶不响，响起来也会是稳重的声音。,9,0.999758629,非常积极
草木善良,2020/8/27 3:48,当初英国强行划分的巴基斯坦和印度，所以印巴很像，你看印度什么样？物化强奸女性，本人支系的巴基斯坦留学生学长第一次见面就敢对我动手动脚，兄弟姐妹们，请小心并多加转告啊！谢谢你们了！好人有好报！软妹子受不了他们那套的，我当时都女汉子生气了，他才罢休！,56,0.999880885,非常积极
像傻子一样开心吧,2020/9/21 11:46,真恶心,0,0.126016095,非常消极
有且不仅有,2020/8/28 10:28,保护好自己，警惕外国人,0,0.892557366,非常积极
理工丁真,2020/8/26 23:26,个人认为巴基斯坦如果没有印度带来的压力，跟中国关系也不会很好，记得以前巴基斯坦跟美国关系不错，现在我觉得中巴双方有共同的利益和危机，所以站在了一起，至于未来，还是那句话，没有永远的朋友，只有永远的利益。（有错请指出，谢谢？）,249,0.999999999,非常积极
玲珑青锋,2020/8/27 0:09,"每次看到有人刷“没有永远的朋友，只有永远的利益”这句话来形容兔子，我就想笑。。。
5000年的中国，2000多年的朝贡历史，就留给了你这句英国人的话么？
“存亡继绝”这个词的意思了解一下？这可是周朝就开始的行为哟？",140,0.999993107,非常积极
黄金比例煎饺,2020/8/27 0:49,不会一堆人不知道美国为了讨好印度背叛巴基斯坦背刺一击吧。之后巴基斯坦举世求助，中国援助，防止巴基斯坦被印度灭国。,50,0.998640044,非常积极
刻师傅刮痧记,2020/8/27 0:54,回复 @玲珑青锋 :我就记住了天下熙熙 皆为利来 天下攘攘 皆为利往,34,0.755710445,较为积极
肥臀少年,2020/8/26 23:16,大家好，他是王骁,143,0.883901365,非常积极
启明大学士,2020/8/27 2:30,观察者网，不待也罢,2,0.590547146,中立
账号已注销,2020/8/28 14:44,懂佳宁:打的就是你,0,0.747588295,较为积极
21丶命运,2020/8/27 13:39,回复 @Bright小七 :大胆！龙王在此！你竟然口出狂言,0,0.709790345,较为积极
Hermetist19,2020/8/27 0:01,156是志愿军替苏联在朝鲜半岛跟美国人干了一架换回来的。巴基斯坦要么也替我们跟印度去克什米尔干一架，要么就好好出钱，没钱就出租地皮港口。想白嫖？就算真主同意我们都不同意。,144,0.594666448,中立
名花嗨咯英,2020/8/27 8:01,很残酷得告诉你，156项目不是免费的，是中国拿物资换来的。至于你说的抗美援朝？不好意思，人家连援助的武器都跟你算钱的。,68,0.178891047,非常消极
名花嗨咯英,2020/8/27 9:19,回复 @捷尔任斯-基 :你不会真的以为苏联能仅用三年时间就能给一个大国建设一个工业体系吧。有这个天顶星能力，那该解体的，应该是北约。,27,0.906347279,非常积极
名花嗨咯英,2020/8/27 9:23,回复 @捷尔任斯-基 :说句不好听的，苏联自己都没有一个完整的工业体系，过分依赖重工业军工业，民生工业长期残废，这也是苏联解体的一大原因之一。真不知道怎么传着传着就是苏联给予中国完整的工业了？,17,0.999953733,非常积极
卡卡塞西亚,2020/8/26 23:51,说好的不干涉别国内政的，这个还是要谨慎,69,0.639867855,较为积极
sunzheeng,2020/8/27 0:21,我的军理课老师说：原则问题可以灵活掌握，以本国利益为主，区别主要是你我知不知道罢了。,74,0.987799477,非常积极
朔原雪,2020/8/27 1:11,不会吧不会吧，现在还有人相信国际关系是和平的吧？,25,0.684504667,较为积极
阿毅毅毅,2020/8/27 0:55,没想到还在有人信了,23,0.471079319,中立
珠湿兄chanceux,2020/8/27 7:47,把国家关系拟人化是十分幼稚，还信以为真就是愚蠢至极。,161,0.443742744,中立
烤糊炸开的栗子,2020/8/27 10:09,"中国帮非洲修铁路，
非洲没钱付款怎么办？
拿那边的自然矿产资源换算成钱",43,0.455046743,中立
孔沙鹊,2020/8/27 13:51,回复 @静河泞雨霜 :人的情感也可能变质，父子反目成仇，爱人一拍两散。但绝对不会有人傻到在感情还维系的时候说，“对不起，情感都虚无缥缈的，你不要对我痴心妄想。”国家也是一样。在有共同利益的时候，不去团结他国，反而拒之门外，“对不起，我们之间只有利益，你不要想别的。”那不是傻子是什么？,20,0.999990057,非常积极
烤糊炸开的栗子,2020/8/27 10:08,"说铁哥们儿都是抬举了
铁哥们儿的地位是平等的，
但是包养关系是不平等的。",16,0.996350228,非常积极
Kirkera,2022/7/24 19:31,别的不说，在外网有关中国的视频，巴基斯坦的人都很友好，经常🇨🇳🇵🇰的，反倒是俄罗斯，官方嘴上说友好，俄罗斯人私底下却经常发一下无脑言论抹黑中国,43,0.99771762,非常积极
鹿笛尔露丢,2022/9/25 2:24,因为俄罗斯人自认西方国家，大多数都很亲美亲欧,8,0.999750314,非常积极
小猪饭团和番茄炒蛋,2022/9/4 1:36,绷,3,0.666666667,较为积极
WJR01101,2020/8/27 1:02,政治越界可不是好事，看起来做的是好事，但这是潘多拉的魔盒，你可不知道会有什么后果会在将来发生。,142,0.887244312,非常积极
粉是吃的不是用来拜的,2020/8/27 6:18,支持这个观点，我们只建议他们的学生来中国学习，然后回去建设自己的家乡,17,0.986757358,非常积极
TOMS等櫻,2020/8/27 13:21,回复 @游戏玩家憨兔 :授人以鱼不如授人以渔,4,0.984377892,非常积极
唉呦呦呦呦呦呦,2020/8/27 16:33,回复 @TOMS等櫻 :授人以渔别赖在别人家的渔场就好了,3,0.401891377,中立
叶色男孩,2020/8/27 22:12,"看了这个视频后，我也巴基斯坦留学生朋友聊了一下了解了一下他的观点，整理了如下几条
1.克什米尔中大概有百分之60到70的人支持克什米尔留在巴基斯坦，30-40%的人希望克什米尔独立
2.俾路支人并不想独立，但是依然有些恐怖分子在他国（印度）势力的支持下进行破坏活动
4.对于中国人去巴基斯坦，巴基斯坦的军队会提供很好的保护，他们的老师都在告诉他们和中国的友谊比海深，比山高
5.伊姆兰·汗在他们心中是一位很好的总理，当初在选举时他们也在国内发视频支持伊姆兰·汗
6..虽然中国比巴基斯坦富裕，但是他们并不想要无偿的援助，他们想要的是双赢的合作项目
感谢大家能看完这个评论，希望巴基斯坦不要成为中国人最熟悉，但是有最陌生的国家，在了解中巴友谊的同时也了解一下巴基斯坦的其他方面",42,1,非常积极
叶色男孩,2020/8/28 10:28,回复 @固化剂得到 :？？？,0,0.406904657,中立
固化剂得到,2020/8/28 10:33,回复 @叶色男孩 :？怎么变成回复你了，额，我这是评论.....,0,0.150699511,非常消极
散人LD,2020/8/26 23:35,我国不干涉他国内政，感觉你的想法太张扬了,104,0.998041417,非常积极
弈尘oo,2020/8/27 0:55,回复 @流河lxl :六七十年代是我国输出价值观的高峰，后来这几十年都是做生意了，赚钱重要,53,0.989848292,非常积极
求索天地间,2020/8/27 1:23,回复 @流河lxl :60年代，法国五月风暴，美国黑豹党，日本赤军，印度mao主义，南美革命，3m的旗号是瞎说的？,35,0.999964632,非常积极
打翻一个大西瓜,2020/8/27 1:05,回复 @流河lxl :上世纪国外一堆人是老毛粉丝,30,0.665699952,较为积极
凌曦云上,2020/8/26 23:40,别总纠结别人是不是跟你真铁，你要细算起来，除了你爸妈还有谁是真心为你好的,45,0.980393544,非常积极
L兮洵,2020/8/28 2:59,说实话，有的爸妈也不咋靠谱，还是靠自己吧,1,0.353030633,较为消极
诶嘿_得囔哒哟,2021/7/14 17:16,开普省刚发生对中企人员炸弹袭击。这个国家的结构性矛盾依然突出,34,0.952115232,非常积极
账号已注销,2020/8/27 8:11,等等，不知道你们看过270梁红的侣行(很有名，可查)没有，实地去巴基斯坦旅行，巴基斯坦根本不像传闻中对中国这么友好，中国旅客去那里要办一个证，分了好几期的人去骗钱，我看过一些vlog也有一些up主说巴基斯坦对中国的态度和传闻中不太一样……说这么多不是为了和热评对着干，是想说国家与国家最重要的还是利益，不要太相信一些传闻了,33,0.076417237,非常消极
东江选锋,2020/8/27 8:02,有些人就是反动势力，发表反动言论，干扰舆论！中苏即使交恶，依然可以买苏联民航机，比如安24（运七）、安12（运八），即使他们知道我们买回来其实是做军用机。而在东欧剧变后，美国人单方面立即终止了对华军事合作，能用于军用的东西都不卖了，已经交了800万美元订金的波音234（民用版CH47）也不给了，还要没收订金！真不要脸！要不是波音为了开拓中国民航机市场而反对没收订金，中国就钱物两空了！美国人毫无信誉可言，无耻流氓至极！,42,5.48E-06,非常消极
知可为与不为,2020/8/27 13:56,说实话，这期有点其心可诛了。苏联时代全世界现代文明都闻革命而色变，更何况苏联解体后的现在了。本来 现在中美冲突就是国际关系核心，中国压力已经极大极大了，目前的外交也在积极争取欧洲韩国等一切能争取的朋友，就算不站中国，也不要死心塌地站美国。已经到了博弈关键期了，这时候你敢输出革命？全世界就敢孤立你，最起码欧洲韩国等发达国家绝对第一个跳出来和你划清界限，到时候真的成了世界都谓之可杀。所以说，这种想法绝对是其心可诛，能得到的利益就是个芝麻，但是承担的风险却是一卡车西瓜。,37,0.999998061,非常积极
转子发动机,2020/8/27 14:13,从未输出革命，助其进步，不要过分解读,0,0.995503585,非常积极
账号已注销,2020/8/28 14:49,你以为王晓不懂吗？  他故意说这些的,0,0.884148641,非常积极
marines-XIAN,2020/8/26 23:21,就是个亲中周边国家而已，也仅此而已。邻居关系和睦，但是绝不会有血缘亲情~,41,0.999850812,非常积极
喜欢桌游,2020/8/27 2:23,有血缘的，反的你更深，越南，韩国，朝鲜，蒙古，有血缘吧，你看看一个个跳的,29,0.970308897,非常积极
kgb00018,2020/8/27 9:54,湾湾有血缘也没见得收回来了啊,9,0.558236836,中立
Umika灬北方,2020/8/27 5:27,回复 @九媱的滑稽又掉了 :本来就不差，之前因为萨德的事情弄得有点关系不好，但还是比其他国家好,8,0.010844677,非常消极
第欧根尼之于狗,2020/8/27 14:03,"观察者网是上海观察者信息技术有限公司和上海春秋发展战略研究院联合主办的新闻时评集成网站（online news and comments aggregator），旨在以即时综合资讯和特色原创内容为全球中文阅读者提供时政事件的深度报道以及思想领域的全面解读。 

业内定位一直是一帮想当国师的人办的民间媒体啊，主要迎合民族主义倾向，而且断章取义造谣国外的新闻还挺多的，真是官媒的话这样搞早被批评得不行不行了

而官媒，哪怕是被很多人吐槽环环

介绍也是：

 《环球时报》（Global Times）是由中-国-共-产党中-央委员会机关报社人民日报社主办与出版的国际新闻报刊，创刊于1993年1月。原名《环球文萃》，1997年改名为《环球时报》。2009年4月20日，《环球时报》英文版创刊，这是中-国第二份面向全国发行的英语综合性报纸。也是唯一向国外传达符合中国基本国情综合新闻的一份报媒。 

看出区别了吗？

有编制，体制内，才是官媒啊。
        ——转载于豆瓣鹅组的饭稻羹鱼
(另外，上上个世纪民族主义最频繁的区域是在德意志，与其同个时代产生的还有共产主义，德意志地区也是当时受剥削最严重的地区之一)",42,1,非常积极
固化剂得到,2020/8/28 0:24,"我个人感觉我是民族主义者，但我坚决反对输出革命干涉别国内政，所以别把锅甩到民族主义者头上，嗯,打个比方就像希拉里说她是女权主义者，特朗普说他让美国再次伟大一样，只是个幌子反而真正的女权和爱国者躺枪",4,0.995652505,非常积极
行无江,2020/8/27 14:09,顶顶,0,0.125,非常消极
断弦曲,2020/8/27 10:46,啊这……今年不对劲啊，各种苗头都出来了,29,0.714411357,较为积极
银翼九尾,2020/8/27 10:53,早就感觉观网不对劲了，后面有踩底线的意思了,4,0.503378477,中立
遥遥遥铃,2020/8/27 12:49,是啊，最近舆论风气相比前几年有点怪怪的,4,0.956611442,非常积极
断弦曲,2020/8/27 11:30,回复 @银翼九尾 :嘶，该不会要乱了吧，我其实不懂这些，但我总觉得这两年要整事了,2,0.054519091,非常消极
Aksuizen,2020/8/26 23:40,骁伙这话有点变相控制那味了，我不认同,134,0.102272511,非常消极
王骁Albert,2020/8/27 0:57,建议了解一下尼泊尔这些年的政局，和“境外影响”,98,0.24205119,较为消极
在洞里点火,2020/8/27 0:26,回复 @風は吹き草低 :中国援助巴基斯坦核武器的时候就打破了和平共处原则了，说到底还是看利益,52,0.733393394,较为积极
腰马合一二仙桥,2020/8/26 23:58,这就是话语体系不在自己手里的结果。怎么说都感觉是在狡辩,37,0.144886397,非常消极
可乐使劲加冰,2020/8/27 10:12,就怕官媒整天巴铁巴铁的宣传，把自己人给忽悠进去了，每次都痛哭流涕大喊巴铁真好，尬的人牙疼,41,0.827404755,非常积极
bili_94054456972,2020/8/28 12:36,我们与巴基斯坦目前来说还是好朋友，巴铁的宣传也确实没有错在政治方面，巴基斯坦国内人民对中国也确实比较好，像在推特YouTube上面帮中国说话的好多都是巴基斯坦人。目前我们想与印度改善关系是不可能的，而巴基斯坦还是我们的好伙伴。宣传巴铁没什么。,8,0.999999843,非常积极
GY观世,2021/5/27 21:26,回复 @bili_94054456972 :国家本来就是以利益为主，巴基斯坦这样的就已经很好了，算的上是朋友了，所以那些人还是太挑了,3,0.946950496,非常积极
油炸鼠条吖,2020/10/5 21:32,"美帝整天宣传自己自由民主
这次疫情把自已忽悠了",1,0.026714744,非常消极
光影孪生,2020/8/27 0:10,输出革命不能是现在……这是完全挑战现有国际秩序。除非新冷战彻底打起来了。,33,0.994492383,非常积极
铁拳无敌孙正义,2020/8/27 0:36,输出革命有很多种类型的 不一定就是直接的底层暴力革命 内部军事政变也挺开心的,8,0.999997992,非常积极
Sherry-AH,2020/8/27 2:58,王骁意思是就像当年共产国际帮我们一样，不是学美国,4,0.982524494,非常积极
巡礼者_,2020/8/27 1:07,经济基础决定上层建筑,1,0.473767218,中立
懒de看看,2020/8/26 23:46,最后一段，可能讲的有点不那么好我国，绝不干涉他国内政但是如果他们需要基建或者其他的，我们愿意提供相关帮助,36,0.991722238,非常积极
