用户名,时间,内容,点赞量
-Spike---,2024-01-30 22:03,本来国家层面上友好和国民真实态度和认知如何就未必能完全划等号，比如俄罗斯，其实他们论坛之类的看起来在亚洲里还是喜欢日韩的更多。即使国民普遍喜欢和欢迎某国人也不能说就没特例没危险什么的。我在这边遇到过两个开店的巴基斯坦人，一个开的是kebab就是土耳其中东那种烤肉，他就问我和我朋友是不是中国人，是不是刚来这边，然后闲聊两句说如果遇到有什么问题可以联系他。另一个是开咖喱店的，巴基斯坦和印度挨着饮食就很接近，也是吃这些。前台收银的看到我们是中国人也说了两句比较友好的话。虽然或许只是些客套话不过确实让人感觉挺温暖的。,1
亮亮繁星相随,2024-01-07 02:15,朋友跟你铁可能是因为你们长久的相处，陌生人跟你铁可能是因为你能给他带来好处。,4
honey_Henry,2024-03-17 13:26,看了弹幕好多人质疑，去查了一下，up主在抖音有464万的粉丝，所以视频没说错,3
任少校,2024-01-07 22:33,UP的评价非常中肯，什么地方都有好人也有坏人，,4
裘人丶,2024-01-12 19:37,只能说了解很片面，巴基斯坦不管上任是哪派的对中国的政策都是友好的，在巴的恐怖组织都是印度支持的，而印度身后少不了英美的身影,1
托垃車,2024-01-08 18:06,UP的视频做的好棒！但是UP看能不能搞成VLOG的那种，就直接在实拍视屏里讲解，单独录制的采访少点.....然后实拍视频多点，实拍原声多点.....,1
R-301卡賓槍,2024-01-09 16:38,有些话你只能后期说  有些感受只能后续来谈  他以前的视频都是vlog 啊,2
帕西法尔k,2024-01-09 20:49,博主说出了真实世界的现象，没有无缘无故的好。,3
北疆旅人,2024-01-06 13:06,很客观很真实,3
树鱼929,2024-02-06 20:25,很有意思的是，在欧洲其实遇到了一些巴基斯坦人。我对巴基斯坦人，因为巴铁的缘故，其实是要比其他人热情一些的，但在欧洲遇到的巴基斯坦普遍对中国人有些冷漠不知道为什么，似乎不知道中巴友谊这回事？,1
lawjack88,2024-01-12 01:20,在命理术数的理论：好人≠贵人，坏人≠小人，贵人与小人是一种状态。坏人有时是贵人，好人有时是小人，所以俗语说得好：好心办坏事！,0
飞扬960522411,2024-01-06 22:55,为啥要有优待，平等就好,0
亮亮繁星相随,2024-01-07 02:18,在不平等下求平等是挺难的。,1
大栗子王,2024-01-09 17:27,中国的内卷也可以说是努力有可能改变自身的处境或是阶级。很多国家不内卷的原因是努力一辈子也无法改变自身的处境。再加上中国自古以来的苦难教育，造就了中国独一份的内卷情景。,2
生产队旳驴,2024-01-16 19:54,因为你拿着拍摄设备，就算不是记者也是能把看到的带回国的，不管什么派，他们都会尽力去交好一个强大的邻邦，会把最无害友善的一面展现出来，除非是故意挑事的恐怖分子，否则拿摄像机的相对普通人是要安全很多的的,2
昆奇-L,2024-04-11 05:19,建议大家也多看看vlog类的，最好是直播，那个更直观，我没去过，但我始终相信，再好的地方也有坏人，再坏的地方也有好人，何况还是一个不发达国家。。。,2
今世无悔入华夏,2024-01-06 15:57,等中国强大了，越来越多国家会这样,5
chen阿橙,2024-01-07 10:01,互利共赢当然铁了,4
Richie5831,2024-01-09 16:56,不是现在都说巴铁不是真的铁？没有去过确实不好判断,1
THEBESTChris,2024-01-09 20:58,纯粹的善是稀有的，大部分是为了有利可图，但不代表这种善是低劣的,4
越越越秋,2024-01-10 16:08,我只看到过我们的人会去证明国与国人民与人民之间会有除了利益以外的感情，实在不理解不理解,0
itstruBunnies_,2024-01-07 12:42,视频真的很好,3
TheFive清风,2024-01-14 17:15,巴美准军事同盟,4
青眠谷雨,2024-02-28 19:10,好的，不好的，不好也不坏的，穷的，富的，符合你价值观的，不符合你价值观的，它的任何一面某种程度都是真的。,2
丁sting168,2024-01-11 02:31,点赞支持，请问罕萨山顶建筑是不是佛寺？巴基斯坦有佛寺吗？,0
萨沙德嘞,2024-01-05 19:07,失踪人口,3
一壶_清茶,2024-01-15 02:28,"Up主还是得注意安全，好运并不会永远倍伴身边，大使馆提出了忠告的情况下，人在海外不能任性啊。
你的第一次巴基斯坦之旅我全程跟了下来并关注了你，这次你的第二次巴基斯坦之旅说真的我不太赞同你的选择，还是要选择在和平的时间出游。",0
况一凡,2024-01-10 01:15,疫情前在迪拜呆过三年，跟很多巴基斯坦人共事过。怎么说呢，他们的心态真的很好，每天开开心心工作生活，对中国人也确实好。印象最深的还是他们的奶茶啊哈哈哈,2
蒙娜丽莎的丁字裤,2024-01-06 14:07,期初以为是前几期的合集  看完还是有不少没有发过的内容  等了好久这一个系列的更新   看来是没有了  投币支持一下,2
汉_唐,2024-01-10 19:52,反对派感觉不是很准确，一般的理解中，反对派是指在野的合法政党，但发动恐怖袭击的肯定不会是合法的，而是地方分离分子或者极端恐怖分子,1
御寒我靠,2024-01-07 17:41,很高质量的视频，国与国之间利益永存,2
hirowl,2024-01-07 22:23,真心希望全世界劳动人民都能过上点幸福日子,2
到这就沉默了,2024-04-25 19:52,一则是因为阶级的固化，二则是因为国家层面，所以想通过外力来实现自身资源优化。可以理解，毕竟真正经历战火淬炼的友谊已被时间洗礼。,0
先锋龙骑士,2024-02-22 14:28,不管两国关系怎么样，反正我不会轻易信任他们，因为信任是需要代价的，友善也并不是毫无目的的，还是那句话害人之心不可有，防人之心不可无，更不要随意去泛滥你的善心，这有可能会为你带来灾祸，他们会觉得中国人就该帮助他们。,1
e灰白戴夫,2024-01-16 15:06,我觉得最好还是不要随意到别人家里做客吧，毕竟潜在的危险谁都无法意料到,2
47443978915_bili,2024-01-10 12:28,100天我个人认为了解深入是不可能的，最起码住个一年半载才有可能了解真实状况。,0
咩野谭生,2024-01-09 15:07,这么高质量的纪录片流量却这么少，太可惜了,2
蜜桃烏龍好喝,2024-01-13 02:15,说的很好，这个世界不全是善良人,2
稻粱苦谋,2024-01-09 18:33,有一点说错了国内并不算真的卷 只是因为各种原因比不得以前，所以搞得好像现在很卷。每个国家其实都差不多 贫富差距只会越拉越大 区别只是中下阶层的生活水平而已,0
lake12345,2024-01-12 13:26,确实记录的很好！三连了,2
阿磊古,2024-01-10 18:34,Up在外面的时候看着很年轻，在家里拍摄的感觉怎么那么成熟呢,2
榎谷,2024-01-08 20:39,你终于舍得出长视频了,2
爱人家园,2024-01-07 15:07,整体性来说中国难得去外国有点朋友感觉的国家，但是国家人来说，好人坏人坏事哪来都一样，所有该怎么办就咋办,2
这个师兄不太稳,2024-01-15 17:44,你这视频太硬了，我投倆币表示尊敬,2
西城败,2024-01-12 01:35,UP如果直接说枪和手枪是不会被人吐槽的，但是因为你在枪这事上张口就来，结果就是造成up的视频可信度降低,0
小宝不姓韦小,2024-01-20 17:14,老哥，油管上怎么不更新了呢,2
种花兔0726,2024-01-10 22:55,没开倍速全部看完了，很具体，完全结合了实际，很棒很优秀的一个视频,0
R-301卡賓槍,2024-01-09 16:47,博主这一期视频真的很中肯！,2
棘罪王冠,2024-01-11 15:12,哪个国家都有真诚的人和虚伪的人，只能说巴铁大体上对国人是比较真诚的，有优待是事实，但是没营销号吹的那么夸张。不过那地方也确实比较危险，还是尽量别去，不是不支持巴铁兄弟，自己的命也很重要,1
hg0315,2024-01-07 02:25,莫忘世上苦人多！,2
粗暴的小学生,2024-01-11 18:22,如果大使馆告诉你去了之后要小心，那就一定要小心了，普通游客在告知期还是不要去，不要玩命。,1
LION_breeze,2024-01-20 16:34,国家之间和人与人之间是不一样的，国家的实控人不断变化，不可能是永远的朋友，永远的只是利益。所以别铁不铁的宣传，容易误导国民。,0
85号赛车选手嘿嘿嘿,2024-01-12 11:41,up主有勇有谋，拍的又好，总结的又很有深度，佩服。,1
魏蔚然,2024-01-07 19:10,念稿的声音对视频观看不太有利，建议提升一下,0
开心郭郭,2024-01-08 15:59,中巴关系越铁=中印关系越差，反之亦然,2
DogPanzer,2024-01-16 20:42,不是所有木仓都叫AK47......,1
绪名,2024-01-07 20:32,"见证了一次呢
似乎世界很复杂多变
仅仅个人而言你们所经历皆所忘
我们不意味着他们的好
也不是媒体的播放量
于此同时我们要有更高的楼层所展望",1
樱木JM,2024-01-27 22:52,很客观，很全面，给你点赞,0
肃正Vitality,2024-01-13 22:11,UP啊= =以后咱就说枪吧.....AK47有点出戏啊...没别的意思就是一个建议...,1
源分ori,2024-01-17 05:52,我看到视频中巴基斯坦人有很多与印度的相似之处，怎么区分谁是印度人谁是巴基斯坦人呢,1
__啦啦噜__,2024-05-27 01:41,现在在泰国旅游，去路边的小饭店吃晚饭，突然旁边一个外国大哥把我拉起来去取冰块，说是看我们一直在擦汗，跟我们说这里有免费的冰块，非常热情一直在聊天，搞得我很疑惑，刚表达完感谢大哥就说“No problem，I'm from Pakistan”那一刻真的很感动,0
零崎陆識,2024-01-25 14:32,政府舆论引导的力量，你帮助他们援助他们他们可能成巴基斯坦也可能变成之前的越南，援助的行为不变只是政府的引导不同，巴基斯坦和印度这么相像也完全可能因为政府的引导变成印度那样对我们的态度，世界上那么多仇视中间都有人挑拨，本都可以和谐相处合作共赢。,0
gujunalex,2024-01-20 00:33,这是我见过最好，最真实，最朴实的巴基斯坦见闻，非常喜欢这种风格，非常感谢作者,1
微电法王,2024-01-07 20:13,3.27 10块人名币？,2
蝈蝈MC69,2024-03-14 13:06,态度也是看人的，疫情时候，我闲着没事在外网上聊天，一个巴基斯坦大叔，上来就自我介绍，问我能不能帮他搞到中国护照，他是大车司机，生意不好做，希望能来中国工作，当时就很无语，外国人这么直接么，不熟的人都能这么直接的要求。,0
MikuMikuAr111,2024-03-03 16:52,19年去过一次，卡拉奇和拉合尔感觉还行，大城市基本都不太乱，上档次的地方都查的很严，去山顶的一个比较好点的酒店吃饭都是荷枪实弹的保安和金属探测仪查车。飞机到站就去坐大巴，路况整体来说凑合，就是路窄车多，开的都慢，不过好在能用的货币多，而且网络虽然速度慢，但2g回个消息也能做到，就是手机卡太贵了,1
BanSau班寿,2024-01-28 10:25,此时，一名松下射手发现了桌上摆着一部看着像S1H的机器，于是果断一键三连。,1
下北泽神医,2024-01-10 21:14,巴基斯坦，基本全靠第三方势力资助才能在印度的攻势下支撑下来，当然巴基斯坦的军队本身战斗力也确实还行，但耐不住内部不稳定，加上太落后，这个国家的发展前景连阿富汗都不如。,1
乌云5,2024-01-13 12:35,up好白啊，有什么特别的护肤技巧吗,1
等-碗孟婆汤,2024-02-19 14:28,通过政府在巴基斯坦建代工厂成本会比国内低，这样能提供就业机会，让底层人民赚些基本的生活费用。。。,0
平静的聆听暖风,2024-01-09 20:09,UP  没有去看飞哥吗？飞哥也是巴基斯坦  星光村！,0
花芝丸糯米,2024-02-13 22:45,我在看很有意思的up主 加油 2024年拒绝无内涵没营养的超短视频,0
迷途千年,2024-01-14 18:04,非常中肯的评价，谢谢！,1
努力戒碳,2024-01-07 20:46,这么长的视频。我居然看完了，句句干货，没一句废话，真不错，奈斯,4
迪亚波罗IV,2024-01-08 23:08,如果一个国家的最底层贫民，能无任何附加条件地帮助一个中国人，叫声巴铁并不为过；同时，任何一个国家的权贵阶级，与任何人交往，都是带着目的，他们没有什么所谓的信仰。,1
hirowl,2024-01-07 22:27,目前我所知道的叙利亚、伊拉克、巴基斯坦都是对我们抱有极大善意的国家,1
亦木木木-,2024-01-12 08:58,在英国，我和我同学遇到的所有巴基斯坦人，一听说我们是中国人，都立刻笑起来，说着bro，积极帮助我们,1
光影迷梦,2024-01-20 00:58,其实都一样，我们普通人一个月几千一万多点的工资，那些有钱人出去溜达一下一天也会花我们一个月好几个月甚至是更多的工资,1
sank-star,2024-01-14 21:32,社会矛盾应该不小吧，希望不要因为对政府的不满转变为对中国的仇恨，普通人太难了,1
Dふ也,2024-01-09 01:54,UP结尾那段你是真懂怎么说话啊，你真棒啊，哈哈哈哈。不过我个人还是幻想浪漫一些好。,1
浔初Ri,2024-05-11 22:21,很中肯,1
雪白的蛋糕,2024-02-07 20:52,中国女的可不容易交往 也就那边的富二代有这实力给彩礼钱 又有房子 又有车的，但话说回来 一个女的真去那生活 习俗完全都不一样 适应期也得有勇气的，总之不容易，，，,1
Kylee凯尔,2024-01-09 23:04,之前去弗洛伦萨旅游，在一个景区买可乐，然后商店的小哥看到我是亚洲面孔就问我是哪里的，我说中国，他让我猜他是哪里的，我随口一说Pakistan？他说说是的，我们是好朋友，一段奇妙的经历,0
兔里兔气的菜狗,2024-01-07 20:58,很真实的评论，upup,1
乌贼鱿鱼没有脊椎,2024-01-13 18:53,一带一路不仅仅是经济层面的,1
BAYANSKY,2024-01-11 13:59,成长了，从上次蒙古国被宰，到现在成为老江湖，旅途上的坎坷重塑了每个人的。加油兄弟,1
懂亿点滑铲的达,2024-03-03 22:41,这几年看过最有深度的视频。赞,1
庸人应劫,2024-01-23 13:55,铁是血换的！没有无缘无故的感情~,1
随性的梵高,2024-01-10 22:01,白沙瓦的不应该叫反对派，应该叫反政府武装,1
看電影玩遊戲,2024-02-14 00:57,利益这种东西不用深究，论迹不论心，论心无完人,1
千江寂,2024-01-08 00:25,非常好的视频，结论比较公正,1
48号萤火虫,2024-03-15 07:58,谢谢你分享的巴铁视频 让我看到了真善美,1
锅锅酱集,2024-03-27 17:37,这经历评论很中肯了,1
琦羰不琦0,2024-01-08 21:36,希望祖国强大，希望文化交融，希望人民富足，希望世界和平,1
施-福卜斯-嚯,2024-03-10 11:29,人要长大到一定程度，长“老”了，才懂得善意的珍贵。,0
瑞瑞潇潇,2024-01-14 15:31,留两个币吧，up很棒,0
大少年小沧桑,2024-02-07 20:23,巴基斯坦政局混乱我一直都知道，但巴军方与中国始终同心，这点存在，中巴友谊就不会崩,0
815小日子寄快递,2024-05-20 00:12,人性啊，不能考验，一考验准失望，论迹不论心吧,0
BILI×2,2024-01-22 12:39,感谢up主展示了世界的参差,0
番茄king啊,2024-02-04 21:32,这个视频很真诚，给所有真诚做视频的up点赞！,0
试试又如何,2024-01-05 20:47,点赞投币了，最初关注UP也是那时候UP主，在白沙瓦街头的视频,1
JeanWan,2024-01-29 15:09,比20岁还没去过星巴克有活儿，有深度,0
读万里路,2024-02-01 13:47,真诚和利益不矛盾的，大多是真诚的利益。,1
pikey2002,2024-01-08 20:48,一个多月不见了，欢迎回归,1
邓子子,2024-01-28 17:17,视频做的很好 很客观,0
畫欲子,2024-01-19 12:30,@高雨田大魔王- 那，高雷师叔，您也知道我喜欢巴基斯坦特产，但是您去吗？！,1
马中秋马导弹马光伏,2024-01-06 21:36,很好，很客观。,1
猫宁morning丶,2024-02-04 08:12,讲的真好,0
麦田的镰刀,2024-01-27 17:05,互联网确实是连接世界的好东西，全时机普通民众都是一样的，极端分子都是少数。,0
蓝帽子委员会CCCP,2024-02-28 21:51,有光明的地方，就会有黑暗 人性本应如此 有酸就会有甜,0
fsh怪兽,2024-01-12 12:54,很喜欢这样娓娓道来的视频,1
kainimaa,2024-01-22 02:21,即使没去过巴基斯坦，看到这个视频我也不经的挺起了胸膛。,0
吃鸡精骨质疏松,2024-02-02 06:43,看完点赞~！世界就是这么真实，人也是这么真实。,0
玮仔二八了,2024-01-13 19:23,up很诚恳,0
骨傲天手下,2024-01-20 08:03,大家都珍视这段友谊吧,0
Y易江南Y,2024-01-10 21:05,你凭什么觉得自己能得到另外一个人无缘无故的纯洁友谊？不管是友谊还是亲情，爱情都是需要经营的，是需要维护的，是需要付出的好吧！前人栽树后人乘凉，你还想只摘果子不去爱惜养护这树？,0
JELENAJUSTIN,2024-01-11 16:36,好👍,0
李狗李狗泥,2024-01-11 02:02,很好的记录片,0
居家学习到几点,2024-01-20 21:51,设备拍的好清楚啊,0
冬天的尽头是春天,2024-01-21 19:57,这一期是以前的大集合啊,0
dongdonghit,2024-01-06 03:19,可咋整？怎么越来越好~,0
灵若PPQ,2024-01-09 21:28,我去的可能就不会 我社恐,0
猫咛Day,2024-05-19 19:07,认识的很深刻了,0
fbkmqj,2024-01-10 16:20,希望中国政府能对巴铁更好点,0
冰辰r,2024-01-11 17:31,up主这种旅行才是真正的旅行者！,1
Enona,2024-05-19 22:58,利益是永远的朋友,0
耀眼的日常,2024-01-08 03:51,魔幻，有点难受,0
民宣小分队小分队长,2024-01-10 19:24,几年前就看了他的所有视频,1
蓝屏本瓶,2024-02-21 20:45,客观！,1
华丽的旅行,2024-01-30 03:09,"走到中东,才知道生在一个强大稳定的国家是多么的幸运,..祖国万岁.",1
六零_斯卡雷特,2024-01-08 03:15,视频看完了，中巴友谊万岁~,1
渡_Li,2024-01-07 17:20,好真实。,1
厉星v,2024-01-31 17:59,为什么这么铁你给我钱，给我援助，我也跟你铁,0
慧慧店长,2024-05-08 17:53,up好帅,0
千古第一大变态,2024-03-12 11:15,学会了，以后出去玩带摄像机,0
隐么,2024-01-08 13:24,利益嘛，不管那个国家都一样,1
bili_52259003545,2024-01-07 13:04,都是人，很正常。,1
魅族首席型号命名官CNO,2024-01-07 02:07,好久不见，兄弟,1
骨傲天手下,2024-01-20 07:48,中国在全世界都在种善因结善果,0
奇异的和弦,2024-01-10 13:08,拿的是散弹枪，不是AK47.,1
任聪聪Vlog,2024-01-10 21:09,是人都会有目的的，没办法。,1
bili_23342440911,2024-03-12 10:00,冷知识:白沙瓦以前是佛教圣地,0
凯子BOY,2024-02-23 16:35,我家以前有个伊拉克客户，很多年前送了我们一根象牙，也不知道他怎么带进中国的,0
LynyrdSkynyrd_,2024-01-14 11:34,这还能看到我潮汕特产,1
雨神-萧句腾,2024-01-07 14:37,感谢这位特工up,1
五菱萌主新洲分萌,2024-01-27 15:17,国与国之间就没有永远的真正的友好,0
大温象,2024-01-07 13:58,我还有你的微信up，好久没刷到你的视频了，以前经常看,1
Psy_Trance,2024-01-08 21:06,这贫富差距，有种洛斯曼的美感。。。,1
我来探探路呢,2024-01-31 21:50,利益为先，别想太多,0
根跟根,2024-01-26 15:20,竖 打错了 坚持 我说看半天呢有点奇怪,0
苍云,2024-01-29 22:12,巴基斯坦同时是中国和美国的友好国家。,0
幻想东方梦,2024-05-14 20:35,每个国家的富人生活都差不多，但是穷人天差地别。,0
Mee_nuka,2024-01-27 18:33,唏嘘,0
愚人foool,2024-05-14 05:12,一谈到合作国家，那就是没有朋友只有利益，天天搁这念经呢，连善意都不被允许释放，那不是求着别人变成敌人？合作友善的时候不去维护这个关系，难道要等到关系破裂了再行动？在这种友好的大环境下硬泼冷水降温，我不理解这是一种什么行为,0
韩增浦,2024-02-17 19:59,内卷是因为给你卷的机会，给你上升通道，再难也是有的，但是国外基本是没有上升通道这种东西的，财富，地位，甚至知识技能都是世袭的,0
LucioHanzo,2024-04-09 20:42,up好帅,0
情妙淡喜,2024-05-18 20:08,从来不觉得巴基斯坦有多铁，都是利益趋动。本质上，巴和印的国家生态一样，就凭这个，你就能想象这个国家的状态了,0
常圣妖,2024-04-07 07:47,如果你想要一个简单的答案，那这个视频就是如看，但如果你带着脑子，这视频还是有参考价值的,0
bili_27503239219,2024-02-19 15:30,@点点,0
小豆包咪,2024-01-10 21:28,保姆司机护卫管家，全球皆准！~~,1
丶逍遥叹丶,2024-02-23 21:29,贫富差距大不是每个国家都有的嘛，有啥好奇的,0
额_滴_神_啊,2024-01-09 12:36,六七千哪里请厨师啊，我们这四线小城市，请个主厨都要一万多好多,1
埃克225,2024-01-10 02:23,新疆90年代也有那种微型车拉客的！现在没有啦。,0
那年e十八,2024-01-06 11:53,关注日打卡,0
真英雄不近女色,2024-01-10 08:22,up是做什么的，怎么那么有钱，老是出国探险，我可以跟着混么,1
white-dryad,2024-01-29 19:48,豪车这一段我几年前好像看过,0
听英语故事催眠,2024-01-08 01:19,刘海有点长呢，兄弟,0
小化同学本人,2024-01-07 18:35,29:25,0
Azmsrfan,2024-01-14 18:48,这是玳瑁眼镜吗,0
桥头半仙南宫,2024-01-24 00:51,利益，说到底还是利益问题,0
沸腾369,2024-01-21 22:09,机场索要小费，几百块钱，是人民币还是当地卢比？,0
holaBzhan,2024-02-06 15:28,卡拉奇那小伙怎么联系啊？,0
神之所幸,2024-01-07 21:47,"笔记
为啥喜欢找中国人要小费，因为出去旅游的很多中国人很有钱。最近法媒贴了一篇报道，说这两年中国游客减少了，他们损失了多少多少钱啥的。他们用的单词，dépensière,这个单词就是爱花钱的，奢侈无度的意思，前面还加了个très ，就是very的意思，就是非常爱花钱的。去巴黎老佛爷等地方逛，很多中国人在那边大把大把买奢侈品。我之前去克罗地亚的斯普利特玩，在那边饰品店逛的时候老板知道我是中国人专门拿出他们家珍藏的珊瑚项链给我看，他还有专门的微信群，说是很多中国人从他们家订那些珊瑚饰品，一个几千欧的项链大把中国人买。中国有钱人真的太多了，导致很多老外遇到中国人都想捞点。",35
LynyrdSkynyrd_,2024-01-14 12:00,贫富差距真的太大了，在贵州的一个小地方见过雪天凌晨背着还不会走路的小孩出来捡破烂的，也见过当地车牌的劳斯莱斯,4
这个昵称还没有人用过才怪,2024-01-09 20:59,"曾经在巴基斯坦工作生活过一段时间。
关于针对中国人的恐怖袭击这些，博主提到了反对派，其实这背后不一定是反对派的锅。

因为国家利益的关系，现总理谢里夫派，和反对派前总理，对华基本政策都是友好。
国内矛盾的话，边境省邦是后加入的，与中央政府的向心力没有南方省邦那么大。
但仅限于国内矛盾，并不会转移到中国人身上。

中国人受袭击的罪魁祸首，是在巴的恐怖组织。
尤其是白沙瓦这种北部山区、靠近阿富汗，反恐难度比较大。
官方的消息是，部分恐怖组织是受境外势力资助（印度相关）。

不管什么原因吧，出门在外还是要注意安全。",695
长猫的尾巴,2024-01-27 22:18,"我记得六年前我去的时候，就发生过一起，忘了名字叫什么，是一个村子。一声响，然后我还没反应过来。旁边的一个穿白的帅哥就把我一把拉倒在地，然后拽着我钻到桌子底下。我才反应过来，大概是恐怖袭击。关键是，那帅哥还紧紧地把我压在他身下，真的。后来我差点哭死，他用蹩脚的英语对我说，你是我们的兄弟，不能让你出事。
回国两年后，我也才知道，马哈迪没了。说实话，我难受了好久。但身体状况不再允许我远行，所以每年我都会在祭奠我姥和我父亲的时候，会给他烧点纸，这也是我现在能做到的了。
真的，没想到还能看到这样的一个视频，那些回忆一下子又回来了。真心希望巴基斯坦再无战争，好好发展。也希望那些心存歹念的暴徒尽快死光！",88
天--痕,2024-03-29 10:35,"据中国驻巴基斯坦大使馆消息，3月26日下午当地时间1时许，中方企业承建的开普省达苏水电站项目车辆在途中遭遇恐怖袭击，造成5名中方人员、1名巴方人员遇难。
巴还是很危险的",0
天依酱是我老婆,2024-01-15 19:40,"中国人的勤劳品德到了up嘴里成了内卷？
麻烦你们不要创造词语！！！
中国人是很勤劳的，他们愿意多多加班这就是他们勤劳的体现，把那些不勤劳的工作摸鱼的同事排挤走，公司能更有效率的。
勤劳加班在你们眼里成了内卷，
在公司愿意多干活也被你们嘲笑内卷，
这个社会已经进入了一种畸形，那些少干活摸鱼的人只会喊着内卷卷死他们了，他们却从来没有沉下心来多做事少说话，那些低头默默工作的勤劳的劳动人民在你们的键盘下成了内卷的典型。
何其可笑！何其悲哀！！！",0
UnstoppableDream,2024-01-16 01:25,乐 卷王卷到最后全给老板做贡献了,0
猫生叹气,2024-01-26 20:08,为啥你会把内卷2字想的那么坏，内卷对于消费者来说是好事啊,0
